# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	1.572875e-08	4.081398e+02	2.904663e-06	1.468060e-06	1.436603e-06
0.01          	-2.503749e-06	-4.419328e+01	-1.056281e-05	-7.785157e-06	-2.777658e-06
0.015         	-2.641615e-07	3.067262e+01	9.790355e-06	4.631016e-06	5.159339e-06
0.02          	7.435352e-07	1.076805e+01	2.030408e-06	1.758739e-06	2.716688e-07
0.025         	2.084118e-06	1.290734e+01	1.892608e-06	3.030422e-06	-1.137814e-06
0.03          	3.097491e-06	1.082734e+01	2.056232e-07	3.200302e-06	-2.994679e-06
0.035         	3.961926e-06	1.010989e+01	-9.470083e-07	3.488422e-06	-4.435430e-06
0.04          	4.656634e-06	9.353063e+00	-1.817340e-06	3.747964e-06	-5.565304e-06
0.045         	4.973126e-06	8.788709e+00	-3.402001e-06	3.272126e-06	-6.674127e-06
0.05          	5.308984e-06	8.312455e+00	-3.150429e-06	3.733770e-06	-6.884199e-06
0.055         	5.704605e-06	7.914167e+00	-3.311708e-06	4.048751e-06	-7.360459e-06
0.06          	5.877202e-06	7.573158e+00	-4.275606e-06	3.739399e-06	-8.015005e-06
0.065         	6.140674e-06	7.277592e+00	-3.843341e-06	4.219004e-06	-8.062344e-06
0.07          	6.242233e-06	7.018524e+00	-4.622931e-06	3.930767e-06	-8.553698e-06
0.075         	6.464270e-06	6.788946e+00	-4.219212e-06	4.354664e-06	-8.573876e-06
0.08          	6.557228e-06	6.583991e+00	-4.830775e-06	4.141840e-06	-8.972615e-06
0.085         	6.518002e-06	6.399444e+00	-4.988003e-06	4.024000e-06	-9.012003e-06
0.09          	6.629980e-06	6.232118e+00	-4.439796e-06	4.410082e-06	-8.849878e-06
0.095         	6.667127e-06	6.079743e+00	-4.924387e-06	4.204933e-06	-9.129320e-06
0.1           	6.609205e-06	5.940085e+00	-4.962230e-06	4.128090e-06	-9.090320e-06
0.105         	6.700849e-06	5.811424e+00	-4.466896e-06	4.467401e-06	-8.934297e-06
0.11          	6.748160e-06	5.692657e+00	-4.816277e-06	4.340021e-06	-9.156299e-06
0.115         	6.701161e-06	5.582415e+00	-4.882534e-06	4.259894e-06	-9.142428e-06
0.12          	6.815515e-06	5.479694e+00	-4.259964e-06	4.685533e-06	-8.945497e-06
0.125         	6.860720e-06	5.383921e+00	-4.781197e-06	4.470121e-06	-9.251319e-06
0.13          	6.853241e-06	5.294213e+00	-4.739088e-06	4.483697e-06	-9.222785e-06
0.135         	6.761420e-06	5.209995e+00	-4.850140e-06	4.336350e-06	-9.186490e-06
0.14          	6.849316e-06	5.130641e+00	-4.130473e-06	4.784079e-06	-8.914552e-06
0.145         	6.880581e-06	5.055985e+00	-4.532402e-06	4.614380e-06	-9.146782e-06
0.15          	6.873950e-06	4.985384e+00	-4.525237e-06	4.611332e-06	-9.136569e-06
0.155         	6.780588e-06	4.918575e+00	-4.695044e-06	4.433066e-06	-9.128110e-06
0.16          	6.700163e-06	4.855218e+00	-4.429512e-06	4.485407e-06	-8.914919e-06
0.165         	6.705639e-06	4.794926e+00	-4.104226e-06	4.653526e-06	-8.757752e-06
0.17          	6.793774e-06	4.737769e+00	-4.022750e-06	4.782399e-06	-8.805149e-06
0.175         	6.724832e-06	4.683269e+00	-4.356621e-06	4.546521e-06	-8.903142e-06
0.18          	6.717336e-06	4.631290e+00	-4.050429e-06	4.692122e-06	-8.742551e-06
0.185         	6.551156e-06	4.581659e+00	-4.438261e-06	4.332025e-06	-8.770286e-06
0.19          	6.522043e-06	4.534213e+00	-3.862661e-06	4.590712e-06	-8.453374e-06
0.195         	6.433281e-06	4.488669e+00	-3.924756e-06	4.470903e-06	-8.395658e-06
0.2           	6.612760e-06	4.445244e+00	-3.416917e-06	4.904302e-06	-8.321219e-06
0.205         	6.452542e-06	4.403527e+00	-4.160154e-06	4.372465e-06	-8.532619e-06
0.21          	6.580680e-06	4.363492e+00	-3.429001e-06	4.866180e-06	-8.295180e-06
0.215         	6.294542e-06	4.325021e+00	-4.290784e-06	4.149150e-06	-8.439933e-06
0.22          	6.440742e-06	4.288042e+00	-3.153777e-06	4.863854e-06	-8.017631e-06
0.225         	6.059927e-06	4.252436e+00	-4.319590e-06	3.900132e-06	-8.219722e-06
0.23          	6.431258e-06	4.218021e+00	-2.450005e-06	5.206255e-06	-7.656260e-06
0.235         	6.048520e-06	4.185040e+00	-4.183824e-06	3.956608e-06	-8.140432e-06
0.24          	6.518349e-06	4.153204e+00	-2.389164e-06	5.323767e-06	-7.712931e-06
0.245         	5.961888e-06	4.122446e+00	-4.355875e-06	3.783951e-06	-8.139825e-06
